ticker,quarter,revenue,gross_margin,fcf_margin,market_cap,ev,revenue_growth_qoq
COIN,2025-12-31,1781129000.0,0.7653937474489495,1.7209034269836716,41908707328,38454714328.0,-0.0468584192267002
COIN,2026-03-31,1412982000.0,0.6966712951757347,0.12933215002031165,41908707328,39668108328.0,-0.20669305816703898
CRM,2025-04-30,9829000000.0,0.7695594668837115,0.6406552039881982,133759082496,134200082496.0,
CRM,2025-07-31,10236000000.0,0.780969128565846,0.059105119187182496,133759082496,134631082496.0,0.04140807813612768
CRM,2025-10-31,10259000000.0,0.78019300126718,0.21220391851057607,133759082496,135920082496.0,0.002246971473231829
CRM,2026-01-31,11201000000.0,0.7760914204088921,0.4752254263012231,133759082496,143608082496.0,0.09182181499171449
CRM,2026-04-30,11133000000.0,0.769154765112728,0.5888799065840294,133759082496,166708082496.0,-0.006070886527988595
CRWD,2025-04-30,1103434000.0,0.7391099059844086,0.25458613745815334,190597758976,186769003976.0,
CRWD,2025-07-31,1168952000.0,0.7345630958328486,0.24384748047824034,190597758976,186435850976.0,0.05937645568289529
CRWD,2025-10-31,1234244000.0,0.7506125207009311,0.24093777243397577,190597758976,186614721976.0,0.05585515915110295
CRWD,2026-01-31,1305375000.0,0.7612195729196591,0.2896861055252322,190597758976,186187710976.0,0.05763123012953675
CRWD,2026-04-30,1385629000.0,0.7529807762395273,0.339731630905531,190597758976,186866300976.0,0.06147965144115686
CSGP,2025-03-31,732000000.0,0.7909836065573771,-0.036885245901639344,11593218048,9054118048.0,
CSGP,2025-06-30,781300000.0,0.7852297452963011,-0.005119672340970178,11593218048,9119118048.0,0.06734972677595619
CSGP,2025-09-30,833600000.0,0.793426103646833,-0.02831094049904031,11593218048,10835918048.0,0.06693971585818503
CSGP,2025-12-31,899900000.0,0.7858650961217913,0.10623402600288921,11593218048,11144218048.0,0.07953454894433776
CSGP,2026-03-31,897000000.0,0.7814938684503902,0.10925306577480491,11593218048,11568218048.0,-0.0032225802866985287
DASH,2025-03-31,3032000000.0,0.5052770448548812,0.1629287598944591,83579568128,79606568128.0,
DASH,2025-06-30,3284000000.0,0.5079171741778319,0.10809987819732034,83579568128,82919568128.0,0.08311345646437984
DASH,2025-09-30,3446000000.0,0.5104468949506674,0.2098084735925711,83579568128,83557568128.0,0.049330085261875656
DASH,2025-12-31,3955000000.0,0.5107458912768648,0.06422250316055626,83579568128,82491568128.0,0.14770748694138125
DASH,2026-03-31,4036000000.0,0.5064420218037661,0.10406342913776016,83579568128,82291568128.0,0.020480404551201037
